State Code,Reference Number,Multiple Name,URL
KY,64000213,Danville MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000213.pdf
KY,64000214,Early Stone Buildings of Central Kentucky TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000214.pdf
KY,64000215,Early Stone Buildings of Kentucky Outer Bluegrass and Pennyrile TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000215.pdf
KY,64000216,Early Stone Buildings of Kentucky TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000216.pdf
KY,64000217,Eastside MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000217.pdf
KY,64000218,Falmouth MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000218.pdf
KY,64000219,Garrard County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000219.pdf
KY,64000220,"German Settlement, Four Mile Creek Area TR",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000220.pdf
KY,64000221,Green County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000221.pdf
KY,64000222,Green River Shell Middens of Kentucky TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000222.pdf
KY,64000223,Greenup MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000223.pdf
KY,64000224,Greenville Kentucky MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000224.pdf
KY,64000225,Greenville Kentucky MRA (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000225.pdf
KY,64000226,Hardin County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000226.pdf
KY,64000227,Historic Firehouses of Louisville TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000227.pdf
KY,64000229,Innes Houses of Fayette County TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000229.pdf
KY,64000230,Jackson MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000230.pdf
KY,64000231,Jefferson County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000231.pdf
KY,64000232,Jefferson County MRA (Tyler Settlement Rural Historic District) (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000232.pdf
KY,64000233,Jessamine County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000233.pdf
KY,64000234,Johnson County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000234.pdf
KY,64000235,Lancaster MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000235.pdf
KY,64000236,Lewisport MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000236.pdf
KY,64000237,Louisa MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000237.pdf
KY,64000238,Ludlow MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000238.pdf
KY,64000239,Madison County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000239.pdf
KY,64000240,Market and Jefferson Streets MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000240.pdf
KY,64000241,Market and Jefferson Streets MRA (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000241.pdf
KY,64000242,Mercer County MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000242.pdf
KY,64000243,Munfordville MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000243.pdf
KY,64000244,Murray Kentucky MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000244.pdf
KY,64000245,New Deal Era Construction in Kentucky MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000245.pdf
KY,64000246,North Old Louisville MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000246.pdf
KY,64000247,Owensboro MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000247.pdf
KY,64000248,Owenton MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000248.pdf
KY,64000249,Payne's Depot MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000249.pdf
